Train_AUC,ODIM,iF,COPOD,ECOD,DeepSVDD,RSRAE
annthyroid,1.38%,1.53%,0.64%,0.56%,2.56%,8.88%
breastw,0.06%,0.29%,0.09%,0.10%,3.66%,15.13%
cover,2.10%,0.92%,0.10%,0.06%,7.38%,19.94%
glass,3.81%,4.49%,7.52%,4.71%,4.11%,18.64%
ionosphere,3.31%,2.39%,1.98%,2.75%,6.73%,0.93%
letter,2.47%,1.91%,1.74%,2.03%,4.37%,4.99%
mammography,1.00%,0.84%,0.79%,0.77%,12.46%,11.17%
musk,0.00%,0.03%,0.55%,0.56%,12.14%,8.50%
optdigits,2.43%,2.98%,1.29%,1.05%,11.43%,10.22%
pendigits,0.72%,1.12%,0.77%,0.66%,4.56%,5.62%
pima,1.62%,0.92%,1.60%,1.41%,2.69%,1.66%
speech,3.03%,3.87%,2.69%,2.79%,5.15%,4.09%
vertebral,9.23%,3.40%,4.57%,1.71%,5.88%,1.72%
vowels,1.25%,2.70%,3.61%,3.11%,7.32%,2.51%
wbc,4.14%,0.32%,0.30%,1.10%,9.58%,13.31%
arrhythmia,4.91%,0.86%,3.68%,3.47%,4.09%,1.80%
cardio,2.23%,0.98%,0.71%,0.49%,5.06%,3.83%
satellite,0.52%,0.89%,0.42%,0.45%,9.32%,8.11%
satimage-2,0.32%,0.45%,1.06%,1.22%,5.92%,1.63%
shuttle,0.19%,0.06%,0.11%,0.04%,16.00%,1.61%
thyroid,1.27%,0.61%,0.26%,0.16%,6.12%,6.22%
1_ALOI,0.76%,0.60%,0.48%,0.57%,1.08%,1.02%
3_backdoor,0.84%,4.05%,0.41%,0.37%,15.90%,4.10%
5_campaign,0.38%,1.40%,0.25%,0.25%,13.29%,1.41%
7_Cardiotocography,1.52%,2.43%,3.60%,0.90%,4.67%,9.38%
8_celeba,0.23%,1.15%,0.18%,0.20%,15.40%,7.43%
9_census,0.13%,,0.07%,0.08%,18.91%,1.45%
11_donors,0.97%,2.08%,0.09%,0.09%,,11.54%
13_fraud,1.52%,0.30%,0.21%,0.19%,9.59%,6.59%
19_landsat,1.15%,1.54%,0.53%,0.56%,3.50%,3.53%
22_magic.gamma,1.00%,0.96%,0.22%,0.23%,4.76%,8.55%
27_PageBlocks,0.48%,1.01%,0.20%,0.12%,7.53%,0.69%
33_skin,0.79%,0.73%,0.03%,0.02%,5.11%,24.49%
35_SpamBase,0.87%,0.61%,0.73%,0.74%,4.65%,0.92%
41_Waveform,4.18%,2.19%,1.30%,2.51%,2.66%,5.49%
